,시점,유가
0,2018. 01 월,66.2
1,2018. 02 월,62.7
2,2018. 03 월,62.7
3,2018. 04 월,68.3
4,2018. 05 월,74.4
5,2018. 06 월,73.6
6,2018. 07 월,73.1
7,2018. 08 월,72.5
8,2018. 09 월,77.2
9,2018. 10 월,79.4
10,2018. 11 월,65.6
11,2018. 12 월,57.3
12,2019. 01 월,59.1
13,2019. 02 월,64.6
14,2019. 03 월,66.9
15,2019. 04 월,70.9
16,2019. 05 월,69.4
17,2019. 06 월,61.8
18,2019. 07 월,63.3
19,2019. 08 월,59.1
20,2019. 09 월,61.1
21,2019. 10 월,59.4
22,2019. 11 월,62.0
23,2019. 12 월,64.9
24,2020. 01 월,64.3
25,2020. 02 월,54.2
26,2020. 03 월,33.7
27,2020. 04 월,20.4
28,2020. 05 월,30.5
29,2020. 06 월,40.8
30,2020. 07 월,43.3
31,2020. 08 월,44.0
