시도별(1),업체수 (개소),시설용량 (톤/일),1일평균가동시간 (시간),시설수 (개),처리량 (톤),설치비 (백만원)
합계,391,113600,9,777,8837827,202912
서울,1,30,10,1,7800,120
부산,1,1,1,2,45,70
대구,2,10,12,3,802,5612
인천,7,757,6,23,12226,10907
광주,28,989,8,35,123565,2082
대전,10,326,14,27,33639,2348
울산,10,1337,10,14,289065,9621
세종,2,3,24,2,30,9
경기,68,2204,11,183,189119,21312
강원,26,7540,9,35,43464,3478
충북,72,16623,8,140,10569,4817
충남,92,35766,8,203,7264564,120948
전북,-,-,-,-,-,-
전남,4,13223,11,5,516320,1641
경북,13,210,7,33,18168,1277
경남,28,3086,9,42,309872,10213
제주,27,31495,8,29,18579,8457
