시도별(1),매립지수 (개소),총매립지면적 (m²),총매립용량 (㎥),기매립량 (㎥),잔여매립가능량 (㎥),매립량 (㎥),매립량 (톤),설치비 (백만원),매립지관리인원 (명)
합계,28,13227502,128931830,90503933,38427897,2063107,1962805,674152,124
인천,2,1937004,15586335,11225224,4361111,433132,412039,157038,7
대전,1,2597,14399,12308,2091,0,0,200,11
울산,2,48260,405196,373911,31285,4149,5393,3380,5
세종,1,1550,6828,0,6828,0,0,245,2
강원,2,360256,2595182,1012950,1582232,57298,68785,17510,12
충북,1,5000,19291,9668,9623,348,387,500,2
충남,6,7010793,52989081,33243459,19745622,1214650,1100088,243748,40
전북,1,19075,120314,111507,8807,0,0,740,4
전남,4,945798,20560556,16187599,4372957,-269282,-302343,39295,16
경북,4,717784,10739374,7625094,3114280,216254,271898,73274,9
경남,4,2179385,25895274,20702213,5193061,406558,406558,138222,16
