시도(1),소재지 (개소),시설용량 (톤/일),1일평균 가동시간 (시간),시설수 (개소),처리량 (톤),설치비 (백만원),연간유지관리비 (백만원),발생가스 이용현황 (N㎥/년)
시도(1),소계,소계,소계,소계,소계,소계,소계,소계
합계,293,37644,8,640,4666410,1401007,357747,76366489
서울,36,6617,9,77,911213,166676,28740,8680579
부산,15,1108,7,32,277701,41357,17474,0
대구,7,1042,12,11,284211,25038,26435,5500766
인천,9,749,8,11,174387,363163,17155,233312
광주,8,1468,9,16,163448,59821,14497,5851531
대전,4,1307,14,7,253766,44201,11579,11290627
울산,4,383,9,6,69756,9359,4238,15673866
세종,3,145,10,9,15369,9659,3243,0
경기,53,4788,9,139,1162124,301853,100194,3832311
강원,21,996,7,59,125602,39144,14201,1057965
충북,10,701,10,25,166557,29412,13099,4794983
충남,15,581,8,28,156520,46452,19714,0
전북,12,688,8,30,128221,21324,17283,12267667
전남,38,14183,6,71,185596,63031,16413,1544727
경북,20,476,7,39,99284,30667,11097,0
경남,26,1548,9,59,358047,126612,32581,5638155
제주,12,864,10,21,134608,23238,9804,0
