시도(1),매립지수 (개소),총매립지 면적 (m²),총매립 용량 (m³),기매립량(전년도 매립량 포함) (m³),잔여매립가능량 (m³),매립량 (m³),설치비 (백만원),연간유지관리비 (백만원),매립지 관리인원 (명)
합 계,218,26744838,480221830,264581583,215640247,7638346,260846,817033,1487
부산,1,747922,24494000,17968244,6525756,290483,0,4761,31
대구,1,853400,32378541,12615652,19762889,324168,0,7933,59
인천,5,15335735,289347381,153323162,136024219,3551310,0,441081,325
광주,1,337860,9480000,2967878,6512122,332132,0,3647,31
대전,1,695788,8762000,6929103,1832897,246329,0,5977,48
울산,1,158500,2615000,828004,1786996,226288,71065,1124,16
세종,2,27818,296592,69964,226628,10931,5500,334,3
경기,9,571473,8285336,4061142,4224194,160831,38315,4938,76
강원,24,1326178,19551723,13437260,6114463,465457,38483,15048,145
충북,13,488435,6081889,4272006,1809883,191081,18190,8090,48
충남,15,628032,7670004,4319078,3350926,186877,0,4617,68
전북,14,818063,8592899,7160442,1432457,244167,30226,3976,70
전남,62,1347583,19542635,11721563,7821072,411488,42096,14327,240
경북,34,1049899,15918922,8274416,7644506,437189,2406,12635,165
경남,26,2044094,23794096,13281519,10512577,398357,14565,272126,123
제주,9,314058,3410812,3352150,58662,161258,0,16419,39
