시점,품목별,수도권,강원,경남,경북,전남,전북,충남,충북
2018-01,신문지,147.0,139.0,149.0,150.0,151.0,150.0,147.0,152.0
2018-01,PS FLAKE,550.0,0.0,544.0,546.0,0.0,0.0,0.0,541.0
2018-01,ABS FLAKE,653.0,0.0,668.0,655.0,641.0,0.0,0.0,641.0
2018-01,PVC FLAKE,0.0,0.0,438.0,436.0,0.0,0.0,0.0,0.0
2018-01,PE PELLET,763.0,743.0,755.0,759.0,754.0,756.0,745.0,746.0
2018-01,PP PELLET,660.0,646.0,663.0,666.0,662.0,661.0,655.0,664.0
2018-01,PS PELLET,0.0,0.0,762.0,0.0,0.0,0.0,0.0,747.0
2018-01,ABS PELLET,1035.0,0.0,0.0,1050.0,1041.0,0.0,0.0,979.0
2018-01,EPS PELLET,910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01,압축 PET,278.0,269.0,283.0,275.0,280.0,266.0,284.0,269.0
2018-01,압축 PE,371.0,343.0,361.0,360.0,365.0,361.0,357.0,359.0
2018-01,압축 PP,329.0,314.0,332.0,327.0,333.0,325.0,323.0,321.0
2018-01,백색유리병,57.0,52.0,59.0,58.0,60.0,57.0,56.0,55.0
2018-01,갈색유리병,36.0,28.0,35.0,35.0,37.0,35.0,37.0,30.0
2018-01,청&녹색유리병,26.0,22.0,26.0,23.0,25.0,26.0,25.0,24.0
2018-01,고철,244.0,237.0,247.0,252.0,251.0,249.0,248.0,246.0
2018-01,철캔,212.0,209.0,212.0,214.0,215.0,210.0,210.0,215.0
2018-01,알루미늄캔,1157.0,1109.0,1149.0,1158.0,1130.0,1146.0,1150.0,1139.0
2018-01,발포스티렌,651.0,611.0,638.0,627.0,629.0,632.0,624.0,628.0
2018-01,고무분말,0.0,0.0,0.0,233.0,235.0,0.0,0.0,0.0
2018-01,PP FLAKE,513.0,491.0,506.0,512.0,503.0,509.0,505.0,514.0
2018-01,PE FLAKE,563.0,543.0,562.0,562.0,557.0,555.0,553.0,550.0
2018-01,골판지,136.0,128.0,137.0,139.0,138.0,138.0,136.0,139.0
2018-02,압축 PE,368.0,346.0,361.0,360.0,363.0,361.0,358.0,359.0
2018-02,PS FLAKE,568.0,0.0,582.0,545.0,0.0,0.0,0.0,574.0
2018-02,ABS FLAKE,651.0,0.0,667.0,655.0,663.0,0.0,0.0,667.0
2018-02,PVC FLAKE,0.0,0.0,431.0,428.0,0.0,0.0,0.0,0.0
2018-02,PE PELLET,761.0,746.0,759.0,757.0,754.0,756.0,751.0,752.0
2018-02,PP PELLET,663.0,651.0,661.0,665.0,662.0,661.0,660.0,668.0
2018-02,PS PELLET,0.0,0.0,761.0,0.0,0.0,0.0,0.0,762.0
2018-02,ABS PELLET,1066.0,0.0,0.0,1089.0,1064.0,0.0,0.0,1039.0
2018-02,EPS PELLET,982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02,압축 PET,263.0,253.0,264.0,265.0,263.0,260.0,264.0,259.0
2018-02,골판지,123.0,116.0,122.0,120.0,122.0,119.0,118.0,122.0
2018-02,압축 PP,329.0,319.0,331.0,332.0,331.0,325.0,330.0,320.0
2018-02,백색유리병,58.0,52.0,59.0,57.0,60.0,57.0,56.0,55.0
2018-02,갈색유리병,36.0,28.0,35.0,34.0,37.0,35.0,37.0,30.0
2018-02,청&녹색유리병,26.0,22.0,26.0,22.0,25.0,26.0,25.0,23.0
2018-02,고철,234.0,232.0,239.0,248.0,242.0,242.0,238.0,247.0
2018-02,철캔,212.0,209.0,213.0,213.0,212.0,208.0,212.0,214.0
2018-02,알루미늄캔,1170.0,1117.0,1155.0,1176.0,1170.0,1159.0,1176.0,1151.0
2018-02,발포스티렌,682.0,646.0,677.0,674.0,672.0,676.0,671.0,661.0
2018-02,고무분말,0.0,0.0,0.0,233.0,235.0,0.0,0.0,0.0
2018-02,PP FLAKE,521.0,500.0,514.0,516.0,512.0,515.0,513.0,520.0
2018-02,PE FLAKE,563.0,548.0,560.0,561.0,557.0,560.0,553.0,558.0
2018-02,신문지,141.0,136.0,140.0,142.0,141.0,142.0,139.0,142.0
2018-03,골판지,90.0,87.0,88.0,89.0,91.0,89.0,89.0,91.0
2018-03,신문지,110.0,107.0,107.0,109.0,111.0,112.0,110.0,112.0
2018-03,PP FLAKE,527.0,505.0,514.0,521.0,515.0,513.0,516.0,526.0
2018-03,PS FLAKE,580.0,0.0,582.0,550.0,0.0,0.0,0.0,574.0
2018-03,ABS FLAKE,681.0,0.0,684.0,672.0,663.0,0.0,0.0,686.0
2018-03,PVC FLAKE,0.0,0.0,443.0,428.0,0.0,0.0,0.0,0.0
2018-03,PE PELLET,766.0,746.0,759.0,757.0,753.0,754.0,761.0,752.0
2018-03,PP PELLET,677.0,651.0,665.0,672.0,656.0,661.0,660.0,675.0
2018-03,PS PELLET,0.0,0.0,761.0,0.0,0.0,0.0,0.0,781.0
2018-03,ABS PELLET,1133.0,0.0,0.0,1089.0,1059.0,0.0,0.0,1039.0
2018-03,EPS PELLET,1015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03,압축 PET,257.0,243.0,254.0,259.0,257.0,250.0,254.0,247.0
2018-03,압축 PE,372.0,356.0,364.0,360.0,363.0,360.0,358.0,369.0
2018-03,압축 PP,332.0,320.0,331.0,332.0,331.0,325.0,330.0,333.0
2018-03,백색유리병,58.0,53.0,59.0,58.0,60.0,56.0,56.0,55.0
