disyear,dismonth,disdate,disday,disquantity,disquantityrate,discount,discountrate
2020,1,1,4,2254315846,3.15,1176158,3.24
2020,1,2,5,2334297501,3.27,1165976,3.21
2020,1,3,6,2074468590,2.9,1054779,2.91
2020,1,4,7,2092143234,2.93,1079716,2.98
2020,1,5,1,2426679691,3.4,1290830,3.56
2020,1,6,2,2207924845,3.09,1066168,2.94
2020,1,7,3,1869829392,2.62,937293,2.58
2020,1,8,4,2354653916,3.29,1222737,3.37
2020,1,9,5,2070683019,2.9,1102583,3.04
2020,1,10,6,1992396498,2.79,1049366,2.89
2020,1,11,7,2008801594,2.81,1044312,2.88
2020,1,12,1,2358829378,3.3,1257393,3.47
2020,1,13,2,2369042563,3.31,1162201,3.2
2020,1,14,3,2069870340,2.9,1079024,2.97
2020,1,15,4,2014369089,2.82,1078424,2.97
2020,1,16,5,1998314793,2.8,1081828,2.98
2020,1,17,6,1994610480,2.79,1057789,2.92
2020,1,18,7,2060147451,2.88,1064403,2.93
2020,1,19,1,2479450799,3.47,1294548,3.57
2020,1,20,2,2514961672,3.52,1212557,3.34
2020,1,21,3,2293301357,3.21,1156179,3.19
2020,1,22,4,2346835988,3.28,1184294,3.26
2020,1,23,5,3091905289,4.33,1551278,4.28
2020,1,24,6,3580833676,5.01,1748382,4.82
2020,1,25,7,2025674213,2.83,1032540,2.85
2020,1,26,1,2252611708,3.15,1088272,3.0
2020,1,27,2,2591722159,3.63,1124635,3.1
2020,1,28,3,2876295087,4.02,1371129,3.78
2020,1,29,4,2391472119,3.35,1206178,3.32
2020,1,30,5,2286725713,3.2,1195740,3.3
2020,1,31,6,2190442423,3.06,1139414,3.14
2020,3,1,1,2670820904,3.83,1446556,3.79
2020,3,2,2,2504691244,3.59,1267723,3.33
2020,3,3,3,2250630392,3.23,1212506,3.18
2020,3,4,4,2059604695,2.95,1123400,2.95
2020,3,5,5,2129949093,3.05,1190704,3.12
2020,3,6,6,2100601150,3.01,1153280,3.03
2020,3,7,7,2125821995,3.05,1156829,3.03
2020,3,8,1,2708699932,3.88,1487335,3.9
2020,3,9,2,2397817749,3.44,1229062,3.22
2020,3,10,3,2010780789,2.88,1073614,2.82
2020,3,11,4,2275134771,3.26,1257738,3.3
2020,3,12,5,2083244264,2.99,1175664,3.08
2020,3,13,6,2041352435,2.93,1129396,2.96
2020,3,14,7,2099896069,3.01,1155892,3.03
2020,3,15,1,2077299643,2.98,1149355,3.01
2020,3,16,2,2460771283,3.53,1263812,3.32
2020,3,17,3,2172132793,3.12,1183395,3.1
2020,3,18,4,2232506775,3.2,1246008,3.27
2020,3,19,5,1930416010,2.77,1090338,2.86
2020,3,20,6,2176046760,3.12,1211178,3.18
2020,3,21,7,2229104355,3.2,1221039,3.2
2020,3,22,1,2595161394,3.72,1446744,3.8
2020,3,23,2,2492332153,3.57,1292753,3.39
2020,3,24,3,2207465982,3.17,1223749,3.21
2020,3,25,4,2199742371,3.15,1247742,3.27
2020,3,26,5,1989676556,2.85,1144403,3.0
2020,3,27,6,2119779024,3.04,1181680,3.1
2020,3,28,7,2186025853,3.13,1207435,3.17
2020,3,29,1,2562496466,3.67,1441657,3.78
2020,3,30,2,2464026179,3.53,1288779,3.38
2020,3,31,3,2176305820,3.12,1221905,3.21
2020,4,1,4,2093082204,3.21,1193655,3.23
2020,4,2,5,2104335242,3.23,1229370,3.33
2020,4,3,6,2049332525,3.14,1170668,3.17
2020,4,4,7,2088534489,3.2,1176126,3.19
2020,4,5,1,2513591118,3.85,1430133,3.87
2020,4,6,2,2412469989,3.7,1283366,3.48
2020,4,7,3,2160953371,3.31,1224033,3.32
2020,4,8,4,2097567002,3.22,1211914,3.28
2020,4,9,5,2020655695,3.1,1196670,3.24
2020,4,10,6,1986745250,3.05,1148359,3.11
2020,4,11,7,2025502253,3.1,1157991,3.14
2020,4,12,1,2082795533,3.19,1179244,3.19
2020,4,13,2,2380936587,3.65,1279439,3.47
2020,4,14,3,2106398288,3.23,1184532,3.21
2020,4,15,4,2189332956,3.36,1290558,3.5
2020,4,16,5,2194785647,3.36,1253610,3.4
2020,4,17,6,1867911332,2.86,1042843,2.82
2020,4,18,7,2286946488,3.51,1300240,3.52
2020,4,19,1,2103174069,3.22,1199265,3.25
2020,4,20,2,2641882573,4.05,1400419,3.79
2020,4,21,3,2093457845,3.21,1170881,3.17
2020,4,22,4,2041326929,3.13,1164763,3.15
2020,4,23,5,2043044992,3.13,1193615,3.23
2020,4,24,6,2024866381,3.1,1152747,3.12
2020,4,25,7,2120885006,3.25,1189755,3.22
2020,4,26,1,2511115545,3.85,1432363,3.88
2020,4,27,2,2430744208,3.73,1292677,3.5
2020,4,28,3,2172404689,3.33,1230577,3.33
2020,4,29,4,2150901879,3.3,1250225,3.39
2020,4,30,5,2240323805,3.43,1293519,3.5
2020,5,1,6,2285112298,3.03,1300449,3.07
2020,5,2,7,2366499546,3.14,1277796,3.01
2020,5,3,1,2442500086,3.24,1394792,3.29
