,지역별,항목,단위,2016 년,2017 년,2018 년
0,전국,가동업체수[개소],개소,15405,14797,19178
1,전국,재활용폐기물량[톤/년],톤/년,55767937,62381216,63306251
2,전국,판매량[톤/년],톤/년,25871017,32114024,50491819
3,전국,판매총액[천원],천원,5443226701,6978984727,9093331546
12,서울특별시,가동업체수[개소],개소,38,24,34
13,서울특별시,재활용폐기물량[톤/년],톤/년,106427,57989,210555
14,서울특별시,판매량[톤/년],톤/년,93498,50982,72279
15,서울특별시,판매총액[천원],천원,12607284,5084821,11081340
24,부산광역시,가동업체수[개소],개소,408,425,504
25,부산광역시,재활용폐기물량[톤/년],톤/년,1466442,1816321,1753028
26,부산광역시,판매량[톤/년],톤/년,1173301,1469152,1385744
27,부산광역시,판매총액[천원],천원,279552581,442514888,498170778
36,대구광역시,가동업체수[개소],개소,348,302,360
37,대구광역시,재활용폐기물량[톤/년],톤/년,927361,1520145,1049610
38,대구광역시,판매량[톤/년],톤/년,815776,838538,896225
39,대구광역시,판매총액[천원],천원,201271084,290821236,318507339
48,인천광역시,가동업체수[개소],개소,707,750,924
49,인천광역시,재활용폐기물량[톤/년],톤/년,2985534,2966891,3400780
50,인천광역시,판매량[톤/년],톤/년,2025348,2229676,3535963
51,인천광역시,판매총액[천원],천원,356429255,417309412,488812251
60,광주광역시,가동업체수[개소],개소,219,202,268
61,광주광역시,재활용폐기물량[톤/년],톤/년,637796,890207,845418
62,광주광역시,판매량[톤/년],톤/년,590613,777121,786701
63,광주광역시,판매총액[천원],천원,176724531,250516631,284237513
72,대전광역시,가동업체수[개소],개소,113,113,124
73,대전광역시,재활용폐기물량[톤/년],톤/년,239780,243701,442587
74,대전광역시,판매량[톤/년],톤/년,207113,233511,218266
75,대전광역시,판매총액[천원],천원,9926490,32190003,21509601
84,울산광역시,가동업체수[개소],개소,624,655,723
85,울산광역시,재활용폐기물량[톤/년],톤/년,1775552,1539244,1785714
86,울산광역시,판매량[톤/년],톤/년,1018664,1106683,1399304
87,울산광역시,판매총액[천원],천원,346015718,322160419,408905390
96,세종특별자치시,가동업체수[개소],개소,115,164,155
97,세종특별자치시,재활용폐기물량[톤/년],톤/년,364182,338435,382169
98,세종특별자치시,판매량[톤/년],톤/년,313250,278028,261564
99,세종특별자치시,판매총액[천원],천원,35257757,46442631,46268424
108,경기도,가동업체수[개소],개소,3457,3447,4229
109,경기도,재활용폐기물량[톤/년],톤/년,7556862,14335230,8273576
110,경기도,판매량[톤/년],톤/년,4036395,6222894,6102231
111,경기도,판매총액[천원],천원,1210427938,1719769898,1653089042
120,강원도,가동업체수[개소],개소,678,606,755
121,강원도,재활용폐기물량[톤/년],톤/년,5004448,5982602,3877441
122,강원도,판매량[톤/년],톤/년,329422,3027476,1415565
123,강원도,판매총액[천원],천원,66313575,75896947,103948640
132,충청북도,가동업체수[개소],개소,1307,1308,1792
133,충청북도,재활용폐기물량[톤/년],톤/년,5318220,5647985,6204392
134,충청북도,판매량[톤/년],톤/년,1346658,1702159,3491594
135,충청북도,판매총액[천원],천원,516249464,743964825,690217257
144,충청남도,가동업체수[개소],개소,1177,1300,1607
145,충청남도,재활용폐기물량[톤/년],톤/년,5102421,5489741,6207158
146,충청남도,판매량[톤/년],톤/년,1996724,3401493,5569668
147,충청남도,판매총액[천원],천원,491628945,611741561,930816467
156,전라북도,가동업체수[개소],개소,1010,712,1238
157,전라북도,재활용폐기물량[톤/년],톤/년,2290350,1730802,2293253
158,전라북도,판매량[톤/년],톤/년,680575,585354,2007617
159,전라북도,판매총액[천원],천원,101829968,184201072,956813327
168,전라남도,가동업체수[개소],개소,901,948,1289
169,전라남도,재활용폐기물량[톤/년],톤/년,9112456,8540097,11034757
170,전라남도,판매량[톤/년],톤/년,3460637,2911637,9530861
171,전라남도,판매총액[천원],천원,327087899,411254831,546708196
180,경상북도,가동업체수[개소],개소,2144,1718,2215
181,경상북도,재활용폐기물량[톤/년],톤/년,8855711,7926355,8651835
182,경상북도,판매량[톤/년],톤/년,6004739,5493790,8842588
183,경상북도,판매총액[천원],천원,903546775,984685321,1180457755
192,경상남도,가동업체수[개소],개소,1949,1909,2662
193,경상남도,재활용폐기물량[톤/년],톤/년,3852218,3233995,6708601
194,경상남도,판매량[톤/년],톤/년,1675629,1725145,4850455
195,경상남도,판매총액[천원],천원,387231591,424170146,911150496
204,제주특별자치도,가동업체수[개소],개소,210,214,299
205,제주특별자치도,재활용폐기물량[톤/년],톤/년,172175,121476,185377
206,제주특별자치도,판매량[톤/년],톤/년,102675,60384,125194
207,제주특별자치도,판매총액[천원],천원,21125846,16260086,42637729
