,TIME 시점,A30 시도별,A30 시도별.1,A30 시도별.2,A30 시도별.3,A30 시도별.4,A30 시도별.5,A30 시도별.6,A30 시도별.7,A30 시도별.8,A30 시도별.9,A30 시도별.10,A30 시도별.11,A30 시도별.12,A30 시도별.13,A30 시도별.14,A30 시도별.15,A30 시도별.16,A30 시도별.17,A30 시도별.18,A30 시도별.19,A30 시도별.20,A30 시도별.21,A30 시도별.22,A30 시도별.23,A30 시도별.24,A30 시도별.25,A30 시도별.26,A30 시도별.27,A30 시도별.28,A30 시도별.29,A30 시도별.30,A30 시도별.31,A30 시도별.32,A30 시도별.33
3,2020. 03. 05,4,103,-1,92,321,4327,0,9,1,14,1,16,0,23,0,1,9,110,2,23,1,12,4,86,0,7,-1,4,87,861,9,74,1,4
4,2020. 03. 06,2,105,3,95,367,4694,0,9,-1,13,2,18,0,23,0,1,10,120,2,25,3,15,4,90,0,7,0,4,123,984,3,77,0,4
5,2020. 03. 07,3,108,1,96,390,5084,0,9,0,13,0,18,0,23,1,2,10,130,1,26,5,20,2,92,0,7,0,4,65,1049,5,82,0,4
6,2020. 03. 08,12,120,1,97,297,5381,0,9,0,13,0,18,1,24,1,3,11,141,1,27,4,24,6,98,0,7,0,4,32,1081,1,83,0,4
7,2020. 03. 09,10,130,-1,96,190,5571,0,9,2,15,1,19,0,24,3,6,11,152,1,28,1,25,4,102,0,7,0,4,26,1107,0,83,0,4
8,2020. 03. 10,11,141,0,96,92,5663,4,13,0,15,-1,18,0,24,2,8,11,163,0,28,0,25,2,104,0,7,0,4,10,1117,0,83,0,4
9,2020. 03. 11,52,193,2,98,131,5794,12,25,0,15,0,18,1,25,2,10,12,175,1,29,2,27,8,112,0,7,0,4,18,1135,1,84,0,4
10,2020. 03. 12,19,212,1,99,73,5867,0,25,0,15,2,20,0,25,5,15,3,178,0,29,0,27,2,114,0,7,0,4,8,1143,1,85,0,4
11,2020. 03. 13,13,225,1,100,61,5928,2,27,0,15,2,22,2,27,17,32,7,185,0,29,0,27,1,115,0,7,0,4,4,1147,0,85,0,4
12,2020. 03. 14,13,238,3,103,62,5990,1,28,0,15,0,22,0,27,6,38,15,200,0,29,1,28,0,115,0,7,0,4,6,1153,0,85,0,4
13,2020. 03. 15,9,247,3,106,41,6031,2,30,1,16,0,22,1,28,1,39,11,211,0,29,3,31,0,115,0,7,0,4,4,1157,0,85,0,4
14,2020. 03. 16,6,253,1,107,35,6066,0,30,0,16,0,22,0,28,1,40,20,231,0,29,0,31,0,115,0,7,0,4,7,1164,0,85,0,4
15,2020. 03. 17,12,265,0,107,32,6098,1,31,0,16,0,22,0,28,0,40,31,262,0,29,0,31,0,115,0,7,0,4,5,1169,1,86,0,4
16,2020. 03. 18,5,270,0,107,46,6144,1,32,1,17,0,22,2,30,1,41,15,277,1,30,1,32,3,118,2,9,1,5,9,1178,0,86,0,4
17,2020. 03. 19,12,282,0,107,97,6241,0,32,0,17,0,22,6,36,0,41,18,295,0,30,1,33,0,118,1,10,0,5,12,1190,0,86,0,4
18,2020. 03. 20,17,299,1,108,34,6275,4,36,1,18,0,22,0,36,0,41,14,309,0,30,0,33,1,119,0,10,0,5,13,1203,1,87,0,4
19,2020. 03. 21,15,314,0,108,69,6344,4,40,0,18,0,22,0,36,0,41,12,321,0,30,1,34,0,119,0,10,0,5,40,1243,0,87,0,4
20,2020. 03. 22,10,324,0,108,43,6387,0,40,1,19,2,24,0,36,0,41,16,337,0,30,1,35,1,120,0,10,1,6,11,1254,1,88,0,4
21,2020. 03. 23,6,330,1,109,24,6411,0,40,0,19,0,24,0,36,1,42,14,351,0,30,2,37,0,120,0,10,0,6,2,1256,1,89,0,4
22,2020. 03. 24,4,334,2,111,31,6442,1,41,0,19,0,24,0,36,0,42,15,366,0,30,1,38,0,120,0,10,0,6,1,1257,1,90,0,4
23,2020. 03. 25,13,347,1,112,14,6456,1,42,0,19,0,24,1,37,2,44,21,387,1,31,0,38,3,123,0,10,2,8,5,1262,0,90,2,6
24,2020. 03. 26,13,360,0,112,26,6482,1,43,0,19,6,30,0,37,0,44,14,401,0,31,1,39,1,124,0,10,0,8,12,1274,0,90,0,6
25,2020. 03. 27,12,372,1,113,34,6516,3,46,1,20,1,31,2,39,0,44,11,412,0,31,2,41,0,124,0,10,0,8,9,1283,1,91,1,7
26,2020. 03. 28,18,390,1,114,71,6587,5,51,0,20,0,31,0,39,0,44,21,433,1,32,0,41,2,126,0,10,0,8,2,1285,0,91,1,8
