상호명,지점명,도로명주소,경도,위도
스타벅스,순화동에이스점,"서울특별시 중구 통일로 92, (순화동)",126.969202890528,37.5635826036441
스타벅스,문화일보점,"서울특별시 중구 새문안로 22, (충정로1가)",126.968622139719,37.56711862235971
스타벅스명동미래,,"서울특별시 중구 명동7길 8, (명동1가)",126.984532402493,37.5641659751905
스타벅스,신당역점,"서울특별시 중구 퇴계로 385, (흥인동)",127.01433114617399,37.56539165332121
스타벅스,남산단암점,"서울특별시 중구 소월로 10, (남대문로5가)",126.975395770913,37.5585276043331
스타벅스,을지로입구역점,"서울특별시 중구 을지로 50, (을지로2가)",126.983312623474,37.5656331860355
스타벅스명동메트로,,"서울특별시 중구 명동9가길 14, (을지로2가)",126.983715734748,37.56512306293929
스타벅스명동역,,"서울특별시 중구 퇴계로 101, (충무로1가)",126.983083260827,37.5608556864363
스타벅스,서울시청점,"서울특별시 중구 을지로 19, (을지로1가)",126.979941681875,37.5662979098695
스타벅스을지로입구,,"서울특별시 중구 남대문로10길 9, (삼각동)",126.98321208809901,37.567200132973
스타벅스서울중앙우체국점,서울중앙우체국점,"서울특별시 중구 소공로 70, (충무로1가)",126.982156500678,37.561586555079
스타벅스조선호텔후문,,"서울특별시 중구 남대문로7길 19, (소공동)",126.980757256014,37.5637640159767
스타벅스,서소문점,"서울특별시 중구 서소문로 130, (서소문동)",126.975510103913,37.563403234147295
스타벅스남산스테이트,,"서울특별시 중구 퇴계로 100, (회현동2가)",126.982911122996,37.5601964424547
스타벅스명동중앙로,,"서울특별시 중구 명동길 60, (명동2가)",126.98573772021099,37.5637618569889
스타벅스,서소문로점,"서울특별시 중구 서소문로 120, (서소문동)",126.974644933829,37.5629361919446
스타벅스서소문배재,,"서울특별시 중구 서소문로 99, (서소문동)",126.972166856166,37.562878601942
스타벅스을지로센타,을지로센터,"서울특별시 중구 을지로5길 16, (을지로2가)",126.984890874694,37.5669442676094
스타벅스,SKTTOWER점,"서울특별시 중구 을지로 65, (을지로2가)",126.98511227932501,37.5664776293738
스타벅스,충무로역점,"서울특별시 중구 퇴계로 197, (필동2가)",126.99390762123899,37.5614259780878
스타벅스,명동메트로점,"서울특별시 중구 명동9가길 14, (을지로2가)",126.983715734748,37.56512306293929
스타벅스,순화동더샵점,"서울특별시 중구 칠패로 27, (순화동)",126.97202179687001,37.5602553075084
스타벅스,명동MPLAZA점,"서울특별시 중구 명동8길 27, (명동2가)",126.98515461767799,37.562522417848704
스타벅스서소문배재점,서소문배재점,"서울특별시 중구 서소문로 99, (서소문동)",126.972166856166,37.562878601942
스타벅스,새명동점,"서울특별시 중구 명동8나길 19, (충무로1가)",126.98387242031099,37.561087741844396
스타벅스,무교동점,"서울특별시 중구 무교로 19, (무교동)",126.978972751429,37.5676230751955
스타벅스,올리브타워점,"서울특별시 중구 세종대로9길 41, (서소문동)",126.97298024232501,37.5613448991997
스타벅스,숭례문점,"서울특별시 중구 세종대로 17, (남대문로5가)",126.973244053454,37.5586170363758
