시도별(1),매립지수 (개소),총매립지면적 (m²),총매립용량 (㎥),기매립량 (㎥),잔여매립가능량 (㎥),매립량 (㎥),매립량 (톤),설치비 (백만원),매립지관리인원 (명)
합계,27,13013413,126624576,89102955,37521621,870881,833427,670014,129
인천,2,1937004,15586335,11322566,4263769,97342,92475,157038,7
대전,1,2597,14399,12308,2091,0,0,200,11
울산,2,48260,405196,373911,31285,0,0,3380,5
세종,1,1550,6828,0,6828,0,0,245,2
강원,2,360256,2595182,1079521,1515661,66371,54815,17510,12
충북,1,5000,19291,9983,9308,315,350,500,2
충남,4,6988070,52739342,34414624,18324718,1242306,971997,231260,39
전북,1,4995,35638,26831,8807,0,0,740,4
전남,5,998512,21699904,16947920,4751984,-235624,-281564,47645,22
경북,4,717784,10739374,7642923,3096451,17829,30222,73274,9
경남,4,1949385,22783087,17272368,5510719,-317658,-34868,138222,16
