시도(1),소재지 (개소),시설용량 (톤/일),1일평균 가동시간 (시간),시설수 (개소),처리량 (톤),설치비 (백만원),연간유지관리비 (백만원),발생가스 이용현황 (N㎥/년)
시도(1),소계,소계,소계,소계,소계,소계,소계,소계
합계,273,35444,9,659,5016956,2514844,363492,64608896
서울,34,6461,11,76,835146,293788,46050,8115990
부산,15,1105,7,43,293064,253375,14806,0
대구,6,1002,12,24,259406,289239,20628,4541354
인천,9,1726,8,12,182888,376098,29588,60864
광주,8,689,8,16,152668,75115,7432,6522916
대전,4,607,11,5,137804,62851,5809,8921678
울산,4,383,9,6,112236,28605,4133,11507735
세종,2,95,10,8,14892,24500,22101,0
경기,46,4105,9,144,1082608,515436,88424,1384625
강원,19,936,7,52,117416,71236,10348,1053957
충북,10,703,10,24,159860,47757,11724,5133843
충남,15,586,8,25,129461,71598,19840,0
전북,11,666,7,36,109855,65183,17508,10999887
전남,38,14099,6,74,907510,115271,15018,827274
경북,17,377,4,30,84454,27240,8943,0
경남,26,1618,9,66,354581,173106,32930,5538773
제주,9,286,13,18,83107,24446,8210,0
