시도(1),매립지수 (개소),총매립지 면적 (m²),총매립 용량 (m³),기매립량(전년도 매립량 포함) (m³),잔여매립가능량 (m³),매립량 (m³),설치비 (백만원),연간유지관리비 (백만원),매립지 관리인원 (명)
합 계,221,26956988,482360247,237036883,245323364,7817031,264178,795170,1479
부산,1,747922,24494000,14672214,9821786,309617,0,7759,52
대구,1,853400,32378541,11990635,20387906,436789,0,6792,54
인천,5,15418818,289347381,132285924,157061457,3446589,0,332940,250
광주,1,337860,9480000,2487785,6992215,233278,0,3186,28
대전,1,695877,8762000,6387069,2374931,671467,0,6031,40
울산,2,360276,7064656,4596244,2468412,177772,71065,911,16
세종,2,27818,296592,33191,263401,5575,5500,106,3
경기,9,549698,8285336,3772772,4512564,111545,38315,4370,39
강원,24,1269640,18648568,12375561,6273007,450574,46808,374472,188
충북,13,451960,5674709,3947312,1727397,128864,18190,3524,135
충남,15,596480,7331385,4008242,3323143,101556,0,4049,57
전북,13,818063,8388934,6691130,1697804,263219,30226,3860,72
전남,62,1376203,18854288,10964697,7889591,444374,37103,15056,241
경북,35,1083071,16104007,7556732,8547275,399707,2406,16224,141
경남,27,2049254,23817908,12292146,11525762,467671,14565,12226,126
제주,10,320648,3431942,2975230,456712,168435,0,3664,37
