시도(1),시설수 (개소),시설용량 (톤/일),1일평균가동시간 (시간),처리량 (톤),설치비 (백만원),연간유지관리비 (백만원),관리인원 (명),에너지이용실태 (Gcal)
시도(1),소계,소계,소계,소계,소계,소계,소계,소계
합계,178,16994,21,4567026,4187726,507228,3777,9602740
서울,5,2898,24,732645,401410,59064,316,1549818
부산,2,510,24,155142,89540,15898,74,346508
대구,1,480,24,90074,72018,7218,44,196612
인천,9,878,10,287702,221772,22687,76,573798
광주,-,-,-,-,-,-,-,-
대전,1,320,24,92569,70478,9278,41,234873
울산,1,650,21,177998,134443,10387,66,338796
세종,1,45,24,12602,31350,2290,21,22616
경기,26,5084,24,1325004,1425911,158909,1077,3048257
강원,15,576,23,153847,173012,20988,239,185580
충북,10,709,21,216200,236890,26881,251,461918
충남,10,1081,24,323025,248059,29266,220,555500
전북,3,601,24,145575,101972,13431,102,569464
전남,54,502,11,119192,169567,24905,352,104696
경북,18,830,21,240356,295035,30558,322,434160
경남,17,1554,24,429153,446889,55510,468,896260
제주,5,276,14,65942,69380,19958,108,83884
